movieskey,moviename,comment,award1,award2,award3,counted,voteforme,deathtype,deathcount,deathcomment,disputes
734,Surrogates,"		",,,,,,,13,13,0
1223,Bad Boys,,,,,,,,21,21,0
735,Extract,"		",,,,,,,2,1 and a testicle,0
736,Good Time Max,"		",,,,,,,3,3,0
737,The Blind Side,"		",,,,,,,1,1,0
738,"Tenebre	","		",<br />&#9733;Runner-up for Best Casio Keyboard - 2011&#9733;,,,,,,12,12,0
739,Splice,"		",,,,,,,8,"3 people, 1 Ginger, 1 Fred, 1 rabbit, 1 cat and 1 Dren",0
740,New Moon,"		",,,,,,,3,2 and 1 vampire,0
741,Defendor,"		",,,,,,,2,2,0
742,"My Sister's Keeper	","		",,,,,,,2,2,0
743,Predators,"		",,,,,,,19,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing",0
744,How About You,"		",,,,,,,1,1,0
745,"The Lookout	","		",,,,,,,7,7,0
746,The Gate,"		",,,,,,,1,1 demon lord,0
747,"Ghost Dog: The Way of the Samurai	","		",,,,,,,45,"18 people, 26 pigeons and 1 bear",0
748,Hard Candy,"		",,,,,,,1,1,0
749,Star Wars: Episode I - The Phantom Menace,"		",,,,,,,162,"21, 3 gungam mounts, 4 destroyers, 2 tattooine lizard rats, 130 droids, 1 black gooberfish, and 1 eel-igator. Also 0 motherfuckers from Samuel L. Jackson.",0
750,BASEketball,"		",,,,,,,17,"5 people, 2 chickens, 1 skunk, 3 raccoons, 1 dog, 1 kangaroo and 4 other animals that died too fast to identify.",0
751,Star Wars: Episode II - Attack of the Clones,"		",,,,,,,200697,"128 (including Jango Fett) plus 2 extremely poisonous giant centipedes, 1 giant alien saber-rat, 1 space beast, 1 space rhinocerous, 1 Mary-beast, 2 AT-TE walkers, 377 droids, 25 big-boned droids, 1 spider droid, 8 roller droids, 2 destroyers, and 1 ball ship.",0
752,I Spit on Your Grave (1978),,,,,,,,4,4,0
753,I Spit on Your Grave (2010),"		",,,,,,,6,6,0
754,Happy Gilmore,"		",,,,,,,3,2 and an alligator,0
755,"Mad Max	","		",,,,,,,10,9 and a dog,0
756,Star Wars: Episode III - Revenge of the Sith,,,,,,,,353646,"117 plus 88 droids, 2 destroyers, 2 horseshoe crab ships, half of General Grievous's ship, 4 starfighters, 1 vulture droid, 8 buzz droids, 5 big-boned droids, 6 jedi-looking droids, 2 rolling water droids, 2 spider droids, 2 flying saucer ships and a hovertank.",0
757,Peacock,,,,,,,,1,1,0
758,Star Wars: Episode IV - A New Hope,,,,,,,,1972739840,"115 plus 9 jawas, 6 X-Wings, 8 TIE Fighters, 3 Y-Wings, the entire planet of Alderaan and one Death Star",0
759,Feast of Love,,,,,,,,1,1,0
760,Up in the Air,,,,,,,,1,1,0
761,Chuck & Buck,"<br />(""a homoerotic misogynistic love story"")",,,,,,,1,1,0
762,Murder!,,,,,,,,1,1,0
763,P.S. I Love You,,,,,,,,1,1,0
764,Insidious,,,,,,,,1,1,0
765,Mega Piranha,"<br />(""Vamanos!"")",,,,,,,4165,"47, plus 1 shark, 1 cruise ship, 1 navy ship, 1 nuclear submarine and 41 mega piranhas",0
766,The Tingler,"		",,,,,,,2,2,0
767,The Town,,,,,,,,6,6,0
768,The Tournament,"		",,,,,,,45,"43, 1 dog and 1 fetus",0
769,The Quiet,"		",,,,,,,1,1,0
770,The Last Exorcism,"		",,,,,,,4,3 and a kitty,0
771,The Last Airbender,"		",,,,,,,2,2,0
772,The Human Centipede,"		",,,,,,,6,6,0
773,The Gravedancers,<br />(And a rapist!),,,,,,,6,6,0
774,The Good Son,,,,,,,,3,2 and a dog,0
775,The Girl Who Played with Fire,,,,,,,,4,4,0
776,The Farmer's Wife,,,,,,,,1,1,0
777,Orange County,,,,,,,,1,1,0
778,The Square,,,,,,,,6,5 and a doggie,0
779,Richard III,,,,,,,,29,29,0
780,Star Wars: Episode V - The Empire Strikes Back,,,,,,,,136,"38, 2 tauntauns, 1 probe droid, 2 AT-AT Imperial Walkers, 4 TIE fighters and one mynock",0
781,Cruel World,<br />(Fucking terrible. No one should watch this.),,,,,,,11,10 and a cow,0
782,2012,,,,,,,,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.,0
783,Dead Air,"		",,,,,,,160004,4 plus tens of thousands of people in sixteen major US cities.,0
784,The Killer Inside Me,"		",,,,,,,11,11,0
785,Die! Die! My Darling!,"		",,,,,,,2,2,0
786,Star Wars: Episode VI - Return of the Jedi,"		",,,,,,,2615849,"76 (including Yoda, Boba Fett, Jabba the Hut, the Emperor and Darth Vader) plus 1 rancor, 1 Jabba-snack (a.k.a. frog), 1 space slug, 5 ewoks, 4 X-Wings, one rebel fighter, one kamikaze rebel fighter, 3 AT-ATs, 10 TIE Fighters, 2 rebel cruisers, 2 star destroyers and one unfinished death star.",0
787,The Ghost Writer,,,,,,,,3,3,0
788,Candyman,"		",,,,,,,6,5 and a dog,0
789,The Rite,,,,,,,,4,4,0
790,Giallo,"		",,,,,,,5,5,0
791,Die Hard: With a Vengeance,"		",,,,,,,16,16 plus 5 motherfuckers from Samuel L. Jackson,0
792,Schindler's List,,,,,,,,10033,"10,033",0
793,Sin City,,,,,,,,59,59,0
794,Lord of the Rings I: The Fellowship of the Ring,"		",,,,,,,183,"102 before the title and then 72 more, plus 9 horses",0
795,Jersey Girl,,,,,,,,1,1,0
796,A Clockwork Orange,,,,,,,,3,2 and a snake,0
797,Salt,"		",,,,,,,30,30,0
798,Willow,"		",,,,,,,36,"33, plus 1 ""dog"" (looks more like a cross between a boar and a giant rat), 1 troll, and 1 two-headed beast ",0
799,The Road Warrior,"		",,,,,,,48,"46, 1 bunny, and 1 dog",0
800,Pot Zombies,"		",<br />&#9733;Most Awesomely Bad Digital Effects - 2011&#9733;,,,,,,22,22,0
801,The Beach,"		",,,,,,,8,8,0
802,Super 8,"		",,,,,,,9,9,0
803,Deuce Bigalow: Male Gigolo,"		",,,,,,,2,1 rainbow fish and 1 chinese tailbar lionfish,0
804,Dracula (1931),"		",,,,,,,13,13 (including Dracula),0
805,The Man Who Knew Too Much (1956),,,,,,,,3,3,0
806,Lord of the Rings II: The Two Towers,"		",,,,,,,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish",0
807,Shrooms,"		",,,,,,,7,6 and a goat,0
808,Canadian Bacon,"		",,,,,,,2,2,0
809,Money Train,"		",,,,,,,3,3,0
810,Dangerous Love,"		",,,,,,,5,5,0
811,The Wolf Man,"		",,,,,,,4,2 and 2 wolfmen,0
812,Mutant Vampire Zombies from the 'Hood!,"		",,,,,,,92,92,0
813,Ninja vs. Bruce Lee,"		",,,,,,,3,3,0
814,Otis,"		",,,,,,,3,3,0
815,Case 39,"		",,,,,,,7,6 and a demon child,0
816,Staten Island,,,,,,,,7,7,0
817,The Texas Chainsaw Massacre (1974),"		",,,,,,,5,5,0
818,The Texas Chainsaw Massacre (2003),,,,,,,,8,8,0
819,Bram Stoker's Dracula,"		",,,,,,,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires",0
820,Cop Out,"		",<br />&#9733;Worst Score - 2011&#9733;,,,,,,10,10,0
821,Mary Shelley's Frankenstein,"		",,,,,,,12,"9 and 3 dogs		",0
822,Frankenstein (1931),"		",,,,,,,4,4,0
823,Final Destination 5,"		",,,,,,,94,94,0
824,Lord of the Rings III: The Return of the King,,,,,,,,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum",0
825,Oldboy,"		",,,,,,,6,5 and an octopus,0
826,Hollywood Homicide,"		",,,,,,,8,8,0
827,Lake Dead,"		",,,,,,,8,8,0
828,"Serious Man, A Serious Man","		",,,,,,,3,2 and a deer,0
829,Top Secret!,"		",,,,,,,24,"22, a cricket and a carrier pigeon",0
830,Stag Night,"		",,,,,,,12,11 and a dog,0
831,Phenomena,"		",,,,,,,7,7,0
832,Armored,"		",,,,,,,6,6,0
833,Up,"		",,,,,,,2,2,0
834,Very Bad Things,"		",,,,,,,6,6,0
835,The Lovely Bones,"		",,,,,,,2,2,0
836,Contract Killers,"		",,,,,,,8,8,0
837,The American,"		",,,,,,,9,9,0
838,How to Kill Your Neighbor's Dog,"		",,,,,,,1,1 dog,0
839,Jesus' Son,"		",,,,,,,12,"5 plus 1 rabbit, 5 premature rabbits and 1 fetus",0
840,My Soul to Take,"		",,,,,,,9,9,0
841,Knight and Day,"		",,,,,,,49,49,0
842,Boogeyman,"		",,,,,,,5,4 and a bird,0
843,RocknRolla,"		",,,,,,,9,9,0
844,Empire of the Sun,"		",,,,,,,14,14,0
845,Horrible Bosses,"		",,,,,,,1,1,0
846,"Good Night to Die, A Good Night to Die","		",,,,,,,7,7,0
847,Ginger Snaps,"		",,,,,,,10,"4 people, 4 dogs and 2 werewolves",0
848,Life as We Know It,"		",,,,,,,2,2,0
849,The Card Player,"		",,,,,,,8,7 and a radio,0
850,Hobo with a Shotgun,"		",<br />&#9733;Bodycount of the Year - 2011&#9733;,,,,,,50,50,0
851,The A-Team,"		",,,,,,,25,25,0
852,Lawn Dogs,"		",,,,,,,3,2 chickens and 1 dog,0
853,Fist of Fury,"		",,,,,,,21,21,0
854,Hunt to Kill,"		",,,,,,,15,15,0
855,The Puppet Masters,"		",,,,,,,203534,"26 people and 203,508 aliens",0
856,Capote,"		",,,,,,,6,6,0
857,Queer Duck: The Movie,"		",,,,,,,1,1 buzzard,0
858,Killers,"		",,,,,,,10,10,0
859,The Doom Generation,"		",,,,,,,9,8 and 1 dog,0
860,Devil in the Flesh,"		",,,,,,,6,5 and 1 dog,0
861,Ghostbusters,"		",,,,,,,3,1 Stay Puft Marshmallow Man and 2 gargoyle dogs,0
862,Sucker Punch,"		",,,,,,,1,1,0
863,Twelve,"		",,,,,,,7,7,0
864,Bloodsucking Freaks,"		",,,,,,,13,13,0
865,The Virgin Suicides,"		",,,,,,,5,5,0
866,Red State,"		",,,,,,,17,17,0
867,Bug,"		",,,,,,,3,3,0
868,Natural Born Killers,"		",,,,,,,123,122 and a scorpion,0
869,Dear John,"		",,,,,,,2,2,0
870,Vampires Suck,"		",,,,,,,8,7 and a cat,0
871,Bully,"		",,,,,,,1,1,0
872,Casualties of War,"		",,,,,,,19,19,0
873,Comic Book Villains,"		",,,,,,,4,4,0
874,I Am Number Four,"		",,,,,,,16,"3 humans, 3 Loriens, 8 Mogadorians and 2 giant alien bat-dogs",0
875,Edge of Darkness,"		",,,,,,,12,12,0
876,Fragile,"		",,,,,,,5,5,0
877,Ghosts of Girlfriends Past,"		",,,,,,,2,2,0
878,As Good As Dead,"		",,,,,,,13,12 and a dog,0
879,Thor,"		",,,,,,,148,"146, 1 Giant Ice Monster and 1 Destroyer",0
880,Death Wish,"		",,,,,,,11,11,0
881,Hideaway,"		",,,,,,,7,7,0
882,ThanksKilling,"		",<br />&#9733;Worst Eyeshadow - 2011&#9733;,,,,,,12,"10 plus 1 dog, 1 baby bunny and a turkey rape",0
883,Home Fries,"		",,,,,,,1,1,0
884,Pieces of April,"		",,,,,,,1,1 squirrel,0
885,Two Hands,"		",,,,,,,8,8,0
886,Tooth & Nail,"		",,,,,,,20,20,0
887,Drive Angry,"		","<br />&#9733;Worst Hair, 2011 - Nicolas Cage&#9733;",,,,,,67,67,0
888,Killshot,"		",,,,,,,4,4,0
889,Unrest,"		",,,,,,,7,7,0
890,Primer,"		",,,,,,,2,2,0
891,Monsters vs Aliens,"		",,,,,,,3682,"3,601 aliens and 81 giant alient robot probes",0
892,True Grit,"		",,,,,,,14,11 and 3 horses,0
893,Girly,"		",,,,,,,5,5,0
894,"Christmas Evil, You Better Watch Out","		",,,,,,,4,4,0
895,High Art,"		",,,,,,,1,1,0
896,Let Me In,"		",,,,,,,10,10,0
897,Rubber,"		",,,,,,,42,"36 people, 1 crow, 1 scorpion, 1 rabbit, 1 turkey, 1 spider and Robert the tire",0
898,Scream of the Banshee,"		",,,,,,,6,5 and a banshee,0
899,The Donner Party,"		",,,,,,,8,"6, a bear and a deer",0
900,Super,"		",,,,,,,19,19,0
901,"Ghoulies III: Ghoulies Go to College, Ghoulies 3","		",<br />&#9733;Worst Casio Keyboard - 2011&#9733;,,,,,,6,6,0
902,Paintball,"		",,,,,,,10,10,0
903,Limitless,"		",,,,,,,11,11,0
904,Holes,"		",,,,,,,9,"7, a mule and 1 yellow spotted lizard",0
905,"Coraline	","		",,,,,,,21,"8 bugs, 2 rats, 1 cocoa beetle, 2 taffy sisters, 6 dog bats, 1 spider hand and 1 Other Dad",0
906,Brick,"		",,,,,,,8,7 and a fetus,0
907,Sanctum,"		",,,,,,,7,7,0
908,The Mechanic,"		",,,,,,,17,17,0
909,Hatchet,"<br />""About as fun as a bag of dicks!""",,,,,,,10,10,0
910,The Lake House,,,,,,,,1,1,0
911,SLC Punk,"		",,,,,,,1,1,0
912,Mad Dog Morgan,"		",,,,,,,12,10 and 2 snakes,0
913,Scream,"		",,,,,,,7,7,0
914,Scream 2,"		",,,,,,,10,10,0
447,Star Trek (2009),,,,,,,,5999995636,"5,999,995,635 and one alien creature",0
915,The Good Girl,,,,,,,,2,2,0
916,Necromentia,,,,,,,,7,6 and a pig-faced demon,0
917,16 Blocks,,,,,,,,2,2,0
918,Men at Work,,,,,,,,1,1,0
919,Redneck Zombies,<br /> (There was also a zombie rape scene.),,,,,,,15,"8 people, 6 zombies and 1 piglet",0
920,Old School,,,,,,,,3,3,0
921,Miss Nobody,,,,,,,,8,8,0
922,See No Evil (2006),,,,,,,,11,10 and a bug,0
923,3000 Miles to Graceland,,,,,,,,48,47 and a coyote,0
924,Everything is Illuminated,,,,,,,,1025,"1,025",0
925,Logan's Run,,,,,,,,49,48 and a robot,0
926,The Violent Kind,,,,,,,,5,5,0
927,Syriana,,,,,,,,10,10,0
928,Blue Valentine,,<br />&#9733Best Closing Titles - 2012&#9733,,,,,,1,1,0
929,Dreamscape,,,,,,,,5,5,0
930,Stone,,,,,,,,3,2 and a fly,0
931,Paul,,,,,,,,4,"2, a bird and a dog",0
932,Alien,,,,,,,,8,"5, an android, an alien and a face hugger",0
933,Aliens,<br />(we used the director's cut),,,,,,,485,"169 humans, 156 aliens, 159 face huggers and one alien queen",0
934,Leprechaun,,,,,,,,5,4 and a cricket,0
935,Faces in the Crowd,,,,,,,,7,7,0
936,Faster (2010),,,,,,,,7,7,0
937,Shaft (2000),,,,,,,,25,25 people and 10 motherfuckers,0
938,Iron Giant,,,,,,,,3,2 and a deer,0
939,Red Riding Hood,,,,,,,,16,"13 people, 1 werewolf, 1 wolf and 1 rabbit",0
940,Psycho (1998),,<br />&#9733;Worst Fashion - 2011&#9733;,,,,,,2,2,0
941,Youth in Revolt,,,,,,,,1,1,0
942,The Texas Chainsaw Massacre 2,<br />(Sex or the Saw!),,,,,,,8,8,0
943,The Godfather,,,,,,,,19,18 and a horse,0
944,Strange Brew,,,,,,,,2,2,0
945,Primal,,,,,,,,31,"7 people, 1 demonic alien fetus, 1 kangaroo, 1 bug, 1 demonic rabbit and 20 leeches",0
946,Orphan Killer,,<br />&#9733;Best Slasher Film - 2012&#9733;,<br />&#9733;Best Soundtrack - 2012&#9733;,,,,,10,10,0
947,Paranormal Activity 3,,,,,,,,2,2,0
948,"Easter Bunny, Kill! Kill!",,"<br />&#9733;Best Song and Dance Number for ""Hookers & Cocaine"" - 2012&#9733;",,,,,,8,8,0
949,Butch Cassidy and the Sundance Kid,,,,,,,,31,"29, a snake and a horse",0
950,The Hunger Games,,,,,,,,26,"22, a bird, a lizard, 2 squirrels and a placemat",0
1446,Mama,,,,,,,,9,"6 people, a baby and 2 moths",0
951,Hanna,,,,,,,,19,18 and a reindeer,0
952,Iron Man,,,,,,,,86,86,0
953,Pervert!,"<br /> (Rated Horny-14 for huge boobs, sex, blood and a snake. The killer was a voodoo penis, there was a toddler kicked like a football and the father was in love with the son. Very disturbing!)",,,,,,,7,5 and 2 snakes,0
954,Ghost in the Shell,,,,,,,,2,2,0
955,Deadly Detour,<br /> (Totally unnecessary diarrhea scene.),,,,,,,23,22 and a fetus ,0
956,Alien&sup3;,,,,,,,,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus",0
957,Bag of Bones,,,,,,,,12,11 and an unborn child,0
958,Leaves of Grass,,,,,,,,7,6 and a catfish,0
959,Feast,,,,,,,,17,"11 plus 3 monsters, 2 baby monsters and a monster cock",0
960,Train,,,,,,,,10,10,0
961,Superfly,,,,,,,,2,2,0
962,Brokeback Mountain,,,,,,,,4,"1, a moose, a coyote and a sheep",0
963,Ocean's Eleven,,,,,,,,1,1,0
964,Tangled,,,,,,,,1,1,0
965,'68,,,,,,,,9,9,0
966,Futureworld,,,,,,,,6,"2 people, 2 robots and 2 genetic duplicates",0
967,Night of the Demons (2009),,,,,,,,7,7,0
968,Haywire,<br />(The 70's called and they want their music back!),,,,,,,8,8,0
969,Eye of the Beholder,,,,,,,,5,5,0
970,Hours,,,,,,,,1,1,0
971,Colombiana,,,,,,,,32,32,0
972,Slugs: The Movie,,<br />&#9733;Grossest Movie - 2012&#9733;,,,,,,16634,"11 people, 1 hamster, 9 slug eggs and 16,613 mutated slugs",0
973,One for the Money,,,,,,,,6,6,0
974,Blood & Donuts,,,,,,,,6,"2 people, 2 rats, 1 pigeon and 1 vampire",0
975,House,,,,,,,,7,7,0
976,Fist of the North Star,,<br />&#9733;Worst Fight Choreography - 2012&#9733;,,,,,,22,22,0
977,Panic in Needle Park,,,,,,,,1,1 puppy,0
978,Scorched,,,,,,,,1,1 duck,0
979,Boogie Woogie,,,,,,,,2,2,0
980,G.I. Joe: The Rise of Cobra,,,,,,,,149,149,0
981,This Means War,,,,,,,,22,22,0
982,Run! Bitch Run!,,,,,,,,8,8,0
983,Bunraku,,,,,,,,170,170,0
984,Crank,,,,,,,,23,22 and a bird,0
985,Management,,,,,,,,1,1,0
986,House of Yes,,,,,,,,1,1,0
987,Lost Tribe,,<br />&#9733;Worst Sound Effects - 2012&#9733;,,,,,,21,"19 people, 1 dog and 1 tribesman",0
988,Lucky,<br /> (Very disappointing serial killer movie.),,,,,,,4,4,0
989,Drive,,,,,,,,10,10,0
990,Iron Man 2,,,,,,,,7,7,0
991,Rock,,,,,,,,23,23,0
992,Make-Out with Violence,,,,,,,,5,"2 people, 2 dogs and a rat",0
993,Less Than Zero,,,,,,,,1,1,0
994,Pretty Persuasion,,,,,,,,1,1,0
995,Rise of the Planet of the Apes,,,,,,,,26,"8 people, 15 chimps, 1 gorilla, 1 orangutan and a bug",0
996,High Life,,,,,,,,4,4,0
997,Game of Death II,,,,,,,,12,12,0
998,Alien: Resurrection,,,,,,,,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid",0
999,Kidulthood,,,,,,,,2,2,0
1000,Braveheart,,,,,,,,21338,"20,176 men and 1,162 horses",0
1001,One Last Thing,,,,,,,,1,1,0
1002,Carolina,,,,,,,,1,1,0
1003,Equilibrium,,"<br />&#9733;Laying it on Thick Award - 2012, presented to Kurt Wimmer&#9733;",,,,,,187,180 people and 7 dogs,0
1004,Dread,,,,,,,,4,4,0
1005,Most High,,,,,,,,2,2,0
1006,Teeth,,,,,,,,2,2,0
1007,After.Life,,,,,,,,2,1 and a baby chick,0
1008,"Love, Wedding, Marriage",,,,,,,,1,1 fish,0
1009,Children,,,,,,,,1,1 cat,0
1010,Memoirs of a Geisha,,,,,,,,2,2,0
1011,Shoot 'Em Up,<br />&#9733;Best Use of Vegetables - 2012&#9733;,,,,,,,98,96 plus 2 deaths by carrot to the face,0
1012,Darkness Falls,,,,,,,,12,11 and an evil tooth fairy ghost bitch,0
1013,Man Who Wasn't There,,,,,,,,4,3 and a fetus,0
1014,Sleeping Beauty,,,,,,,,2,2,0
1015,Hurt,,,,,,,,4,3 and a duckling,0
1016,Weather Man,,,,,,,,1,1,0
1017,World's Greatest Dad,,,,,,,,1,1,0
1018,Watchmen,,,,,,,,15000044,"15,000,040, a fetus, 2 dogs and Bubastyx (the genetically engineered tiger-lynx hybrid)",0
1019,Predator,,,,,,,,72,"69, a scorpion, a boar and a predator",0
1020,Predator 2,,,,,,,,39,38 and a predator,0
1021,Reef,,,,,,,,4,4,0
1022,Hostel: Part III,,,,,,,,14,13 and a cockroach,0
1023,Macbeth (2010),,,,,,,,20,20,0
1024,Soul Surfer,,,,,,,,1,1 shark,0
1025,Tiny Furniture,,,,,,,,1,1 hamster,0
1026,The Butcher (2006),<br />&#9733;Worst Lighting - 2012&#9733;,,,,,,,8,8,0
1027,Amazing Spider-Man,,,,,,,,4,"2 people, a mouse and a genetically enhanced spider",0
1028,X-Men,,,,,,,,6,5 and a bird,0
1029,Never Let Me Go,,,,,,,,3,3,0
1030,The Recruit,,,,,,,,2,2,0
1031,Cirque Du Freak: The Vampire's Assistant,,,,,,,,1,1,0
1032,Buried,,,,,,,,1,1,0
1033,Incredible Hulk,,,,,,,,20,20,0
1150,Species IV: The Awakening,,,,,,,,14,"9 people, 4 alien-human hybrids and 1 unborn alien baby",0
1034,Prometheus,,,,,,,,18,15 plus 2 space jockeys and a giant alien squid baby (aka the original facehugger),0
1035,Hulk,,,,,,,,8,"4, a frog and 3 gamma infected dogs",0
1036,The Roommate,,,,,,,,3,2 and a kitten,0
1037,The Family Tree,,,,,,,,1,1,0
1038,Mojave Moon,,,,,,,,1,1,0
1039,Cape Fear,,,,,,,,4,3 and a dog,0
1040,Jurassic Park,,,,,,,,9,"5 people, 2 dinosaurs, a goat and a bull",0
1041,Girl Next Door,,,,,,,,2,2,0
1042,Contagion,,,,,,,,26000087,"Over 26 million people, 56 monkeys and one pig",0
1043,Jimmy and Judy,,,,,,,,3,3,0
1044,Playing by Heart,,,,,,,,1,1,0
1045,Rest Stop,,,,,,,,3,3,0
1046,Watchers,,,,,,,,20,13 and 7 research animals,0
1047,Lost World: Jurassic Park,,,,,,,,16,"14 people, a dog and a Velociraptor",0
1048,The People Under the Stairs,,,,,,,,6,5 and a dog,0
1049,Boogie Nights,,,,,,,,9,9,0
1050,Lockout,,,,,,,,533,533,0
1051,Caged Heat,,,,,,,,8,8,0
1052,Drugstore Cowboy,,,,,,,,1,1,0
1053,Suspicion,,,,,,,,2,2,0
1054,Dust ,,,,,,,,62,"58, 2 sheep, a stillborn baby and an unborn baby",0
1055,Jurassic Park III,,,,,,,,8,"6 people, a T-Rex and a Pterodactyl",0
1056,The Killing Jar,,,,,,,,8,8,0
1057,Get the Gringo,,,,,,,,52,52,0
1058,Too Young to Die?,,,,,,,,1,1,0
1059,World Unseen,,,,,,,,1,1,0
1060,Mercury Rising,,,,,,,,15,15,0
1061,Sleepaway Camp,,,,,,,,11,11,0
1062,Sleepaway Camp II: Unhappy Campers,,,,,,,,18,18,0
1063,Sleepaway Camp III: Teenage Wasteland,,,,,,,,17,16 and a fish,0
1064,Kalifornia,,,,,,,,12,11 and a bug,0
1065,Fright Night,,,,,,,,10,5 and 5 vampires,0
1066,Creepshow,,,,,,,,18,10 and 8 bugs,0
1067,Jeepers Creepers 2,,,,,,,,10,10,0
1068,Batman,,,,,,,,54,54,0
1069,Man Who Knew Too Little,,,,,,,,4,4,0
1070,The Girl with the Dragon Tattoo,,,,,,,,4,3 and a cat,0
1071,Batman Returns,,,,,,,,6,5 and a cat,0
1072,In Time,,,,,,,,10,10,0
1073,Phenomenon,,,,,,,,1,1,0
1074,How to Rob a Bank,,,,,,,,1,1,0
1075,Dirty Harry,,,,,,,,7,7 bodies and 4 reasons he's called Dirty Harry (1. He hates everyone.  2. He's a peeping tom.  3. He gets all the dirty jobs that no one else wants.  4. He always gets the shit end of the stick.),0
1076,Neo Ned,,,,,,,,5,4 and a dog,0
1077,Burning Palms,,,,,,,,3,2 and a possum,0
1078,Batman Forever,,,,,,,,15,15,0
1079,Toxic Avenger,,,,,,,,23,22 and a dog,0
1080,X,,,,,,,,5,5,0
1081,High Lane,,,,,,,,4,4,0
1082,Lazarus Project,,,,,,,,5,5,0
1083,Seed,,,,,,,,14,14,0
1084,Gojira (a.k.a. Godzilla),,,,,,,,10411,"10,374 plus 12 cows, 8 pigs, 16 fish and Godzilla",0
1085,Return to Sleepaway Camp,,,,,,,,11,5 and 6 frogs,0
1086,Creepshow 2,,,,,,,,14,13 and a duck,0
1087,11-11-11: The Prophecy,,,,,,,,4,4,0
1088,11/11/2011,,,,,,,,24,"22, a butterfly and a rat",0
1089,Barbarella,,,,,,,,40,19 and 21 leathermen,0
1090,Mary and Max,,,,,,,,16,"6, 2 flies, 1 worm and 7 fish",0
1091,Don't Go in the Woods,<br />(Too much musical and too little slashing. Vincent D'Onofrio should stick to acting.),,,,,,,13,13,0
1092,Death Wish 2,,,,,,,,16,16,0
1093,Adventures of Baron Munchausen,,,,,,,,52,51 and a giant 3-headed mechanical bird,0
1094,Camp Hell,<br />(Be warned - this is a crazy religious movie),,,,,,,1,1 bug,0
1095,Singles,,,,,,,,1,1 fetus,0
1096,Death Wish 3,,,,,,,,77,75 and 2 roaches,0
1097,Tales from the Crypt: Demon Knight,,,,,,,,22,12 and 10 demons,0
1098,Rest Stop: Don't Look Back,,,,,,,,7,7,0
1099,God Bless America,,,,,,,,31,31,0
1100,Red Dawn,,,,,,,,107,106 and a deer,0
1101,I Spill Your Guts,<br />&#9733;Worst Sound Mixing - 2012&#9733;,,,,,,,25,25,0
1102,Margin Call,,,,,,,,1,1 dog,0
1103,Dumb and Dumber,,,,,,,,2,1 and a bird,0
1104,Wishmaster,,,,,,,,1,1,0
1105,Constantine,,,,,,,,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs",0
1106,Borderland,,,,,,,,12,11 and a goat,0
1107,Conan the Barbarian,,,,,,,,76,"71 people, 3 horses, 1 buzzard and a giant snake",0
1108,Leviathan,,,,,,,,8,"6, a spider crab and a genetic alteration",0
1109,Thinner,,,,,,,,6,6,0
1110,Shrink,,,,,,,,1,1 dog,0
1111,Soapdish,,,,,,,,1,1 cockroach,0
1112,Traveler,,,,,,,,6,6,0
1113,Finding Nemo,,,,,,,,422,2 fish and 420 eggs,0
1114,Aliens vs. Predator: Requiem,,,,,,,,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens ",0
1115,Home Room,,,,,,,,6,6,0
1116,Thursday,,,,,,,,19,18 and a fetus,0
1117,Joe Dirt,,,,,,,,7,"4, a dog, a duck and a fly",0
1118,Lion King,,,,,,,,22,"19 bugs, a zebra, Mufasa and Scar",0
1119,Cherry Bomb,,,,,,,,11,11,0
1120,Safe,,,,,,,,82,82,0
1121,Malevolence,,,,,,,,5,5,0
1122,Mum & Dad,,,,,,,,6,6,0
1123,National Lampoon's Vacation,,,,,,,,2,Aunt Edna and the dog,0
1124,Bloody Birthday,,,,,,,,8,8,0
1125,Batman & Robin,"<br />(Nipples! Then all of a sudden, Coolio! Who read this script and thought this was a good career move?)",,,,,,,13,13,0
1126,Halloween (1978),,,,,,,,6,5 and a dog,0
1127,Halloween II (1981),,,,,,,,10,10,0
1128,Halloween II (2009),,,,,,,,18,"16, a cow and a dog",0
1129,Halloween Night,,,,,,,,18,18,0
1130,Trick r' Treat,,,,,,,,10,10,0
1131,Confess,,,,,,,,1,1,0
1132,Descendants,,,,,,,,1,1,0
1133,Wishmaster 2: Evil Never Dies,,,,,,,,2,2,0
1134,Halloween III: Season of the Witch,,,,,,,,31,8 people and 23 robots,0
1135,Halloween 4: The Return of Michael Myers,,,,,,,,20,19 and a dog,0
1136,Halloween 5: The Revenge of Michael Myers,,,,,,,,21,20 and a dog,0
